segment,local_ha,acc_ha,successor,cells,components,dist_med_m,dist_p95_m,dist_max_m,climb_mean_m,climb_p50_m,climb_p95_m,climb_max_m,frac_gt_0p1,frac_gt_0p5,frac_gt_1,frac_gt_2,nome_rio,nova_class,obs,st_length_,flag_pixels_gt1,flag_pixels_gt2,flag_max_climb_m,uncertainty_flag
9622,0.21,23.51,27519.0,21,1,32.10704470062713,51.622846874322974,60.669013651625015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Corpo d'Água,,12.680358331,0,0,0.0,
10138,0.02,9.1,18684.0,2,1,4.359623081389613,7.255571000621293,7.577342991647035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Curso d'Água,,14.8344795265,0,0,0.0,
10585,0.0,9.19,22443.0,0,0,,,,,,,,,,,,,Corpo d'Água,,0.217248475228,0,0,0.0,
10648,1.25,352.86999999999995,12812.0,125,1,67.25098891025775,178.6051700206096,223.8396577324594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rio Guaxanduva,Corpo d'Água,,73.1850838069,0,0,0.0,
11141,0.16,9.38,27249.0,16,1,17.64137637937955,50.94283517607585,56.25783375746853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Corpo d'Água (Tubulado/Galeria Fechada),Caracterizado em vistoria por AG e LF após inúmeras entrevistas com moradores - 19/02/19,23.9050802271,0,0,0.0,
11244,5.69,211.87,31761.0,569,1,297.026754496012,535.1960603520473,565.6207023142202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rio Guaxanduva,Corpo d'Água (Canal/Galeria Aberta),,16.9691579894,0,0,0.0,
11404,8.13,313.96,31571.0,813,1,334.6592213043895,593.0350245579847,679.6224817454606,0.0779433995302019,0.0,0.509884738922119,0.8936219215393066,0.2004920049200492,0.054120541205412,0.0,0.0,Rio Guaxanduva,Corpo d'Água,Art. 9º LC 601/2022,53.8691017612,0,0,0.0,
11415,1.06,40.59,1134.0,106,1,35.91917458289296,116.67053571673866,143.27068874371247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Corpo d'Água (Tubulado/Galeria Fechada),,93.3217437127,0,0,0.0,
11513,2.51,361.3399999999999,22148.0,251,1,100.22778139146963,200.6553259049924,287.4722794776585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rio Guaxanduva,Corpo d'Água,,107.932067266,0,0,0.0,
11858,0.17,10.12,8211.0,17,1,54.48981623894882,126.36090717955304,134.35500762426307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Corpo d'Água (Tubulado/Galeria Fechada),,0.230675898563,0,0,0.0,
12182,0.98,71.85000000000001,20915.0,98,1,43.170796372847946,97.69111375145654,130.22454051819847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Corpo d'Água (Tubulado/Galeria Fechada/via),,60.3795889596,0,0,0.0,
12240,0.0,7.43,31166.0,0,0,,,,,,,,,,,,,Corpo d'Água (Tubulado/Galeria Fechada),,2.77955283644,0,0,0.0,
12324,2.45,2.45,1237.0,245,1,77.39295587491704,178.91985839274818,210.767340020296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Curso d'Água,,59.995768842,0,0,0.0,
12381,0.01,2.01,21151.0,1,1,0.9960033664989032,0.9960033664989032,0.9960033664989032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Corpo d'Água,Vistoriado por LF e AG - 19/02/19,14.1170317613,0,0,0.0,
12756,4.2,4.2,32683.0,420,1,62.904496014061465,141.09197568238682,168.1228494473774,0.0005845932733444,0.0,0.0,0.2455291748046875,0.0023809523809523,0.0,0.0,0.0,,Curso d'Água,,162.343275717,0,0,0.0,
12812,5.96,358.8299999999999,11513.0,596,1,415.94355302816064,610.829536642914,647.9166081255134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rio Guaxanduva,Corpo d'Água (Tubulado/Galeria Fechada/via),,6.15683527949,0,0,0.0,
13413,0.13,2.98,6411.0,13,1,11.832088283016056,19.583382937019863,19.627766789602656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Corpo d'Água (Tubulado/Galeria Fechada/via),Confirmado em vistoria por AG e LF - 19/02/19,27.9831587918,0,0,0.0,
13515,0.0,6.1,4754.0,0,0,,,,,,,,,,,,,Corpo d'Água (Tubulado/Galeria Fechada),,1.47352171716,0,0,0.0,
13777,0.48,7.43,12240.0,48,1,72.98266078289794,136.4675217540731,146.94196962659294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Corpo d'Água (Tubulado/Galeria Fechada),,26.2300936032,0,0,0.0,
13836,1.03,115.23,26069.0,103,1,38.76640324066336,89.77253448073706,118.2368157736934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Corpo d'Água,,74.3382925323,0,0,0.0,
13840,18.83,244.03,32966.0,1883,1,242.94815137030656,555.9055600959827,659.241297443055,2.9359798259198256e-06,0.0,0.0,0.005528450012207,0.0,0.0,0.0,0.0,Rio Guaxanduva,Corpo d'Água (Canal/Galeria Aberta),,146.529020029,0,0,0.0,
13991,1.73,7.600000000000001,27249.0,173,1,39.37067090765999,111.06611013513565,134.50882149653336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Corpo d'Água (Tubulado/Galeria Fechada/via),,230.521078839,0,0,0.0,
14388,0.0,2.4,32098.0,0,0,,,,,,,,,,,,,Corpo d'Água,,1.47456142664,0,0,0.0,
14467,0.03,204.63,19973.0,3,1,13.051514957991898,17.659467579957205,18.17146231573113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rio Guaxanduva,Corpo d'Água (Tubulado/Galeria Fechada),,5.47276619328,0,0,0.0,
15612,0.17,76.82000000000001,21536.0,17,1,31.95712991573252,74.64753828654884,82.56023395203509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Corpo d'Água (Tubulado/Galeria Fechada/via),,20.870618607,0,0,0.0,
15852,0.0,14.310000000000002,16050.0,0,0,,,,,,,,,,,,,Corpo d'Água,,0.178266542241,0,0,0.0,
16050,0.22,14.530000000000005,31166.0,22,1,17.571538010390213,40.6602286069759,45.55211138773935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Corpo d'Água,,34.9857310663,0,0,0.0,
17252,0.59,19.800000000000004,4000.0,59,1,21.03540271991925,82.87284211640198,123.00681396967973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Corpo d'Água (Tubulado/Galeria Fechada/via),,76.9573472467,0,0,0.0,
17310,0.44,3.98,27169.0,44,1,73.32517580272437,131.70634146335686,144.22100317391528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Curso d'Água,,8.90387052313,0,0,0.0,
17361,0.21,9.080000000000002,10138.0,21,1,16.99777663095653,33.94358775285594,37.14474561489161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Curso d'Água,,22.5280631369,0,0,0.0,
17932,4.44,70.79,19822.0,444,1,69.68851167743232,160.64019281968032,198.8426303264471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Corpo d'Água,,186.125209495,0,0,0.0,
17994,1.23,32.78,11415.0,123,1,103.48743005112148,180.3271726005036,192.50803212966449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Corpo d'Água (Tubulado/Galeria Fechada),,37.608807703,0,0,0.0,
18026,0.63,116.85,22392.0,63,1,60.17232302822691,180.7943776066653,199.15764995408563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Corpo d'Água (Tubulado/Galeria Fechada/via),,24.7830633528,0,0,0.0,
18508,0.29,426.38999999999993,8272.0,29,1,56.61929221391524,98.81127815466668,100.89222096276046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rio Guaxanduva,Corpo d'Água (Tubulado/Galeria Fechada/via),Trecho largura acima de 10 metros,0.71470184715,0,0,0.0,
18684,0.09,9.19,10585.0,9,1,15.572762828594936,38.19810443450715,41.58160256384624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Curso d'Água,,11.3763857233,0,0,0.0,
19026,0.97,8.540000000000001,32683.0,97,1,21.835903117633475,57.70202625963703,71.66149446463349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Curso d'Água,,131.401682434,0,0,0.0,
19061,0.14,2.26,23296.0,14,1,16.584946368674366,43.72765967135295,49.23041440461865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Corpo d'Água,Este trecho necessita confirmação em campo,24.6427666907,0,0,0.0,
19822,0.08,70.87,12182.0,8,1,21.303938636328915,43.05210477511173,45.15062317585205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Corpo d'Água (Tubulado/Galeria Fechada),,9.67615212782,0,0,0.0,
19973,0.11,204.74,9236.0,11,1,38.73489968624958,70.31272307067067,73.7567654775727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rio Guaxanduva,Corpo d'Água (Tubulado/Galeria Fechada/via),,12.2190598335,0,0,0.0,
20720,3.34,331.55999999999995,6908.0,334,1,135.40728046092738,222.3789201461827,262.2796810877376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rio Guaxanduva,Corpo d'Água (Tubulado/Galeria Fechada/via),,13.1373607437,0,0,0.0,
20915,4.8,76.65,15612.0,480,1,166.58980562919237,344.7154239079064,421.3531545334188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Corpo d'Água (Tubulado/Galeria Fechada),,89.2834387438,0,0,0.0,
21018,0.03,3.39,25111.0,3,1,15.253120429883191,24.08294053331591,25.064031655919543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Curso d'Água,,7.80386730465,0,0,0.0,
21151,1.31,3.32,27929.0,131,1,68.06043704395104,121.21625017154508,136.9766284216133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Corpo d'Água,Vistoriado por LF e AG - 19/02/19,39.536696635,0,0,0.0,
21267,7.07,305.38,30588.0,707,1,187.3076612824071,433.9414434410888,487.2585097152679,0.0455634691759079,0.0,0.3955631732940641,0.979794979095459,0.1074964639321075,0.0367751060820367,0.0,0.0,Rio Guaxanduva,Corpo d'Água,,98.1718236855,0,0,0.0,
21536,0.03,100.26,24168.0,3,1,9.992208473306771,18.003653650436334,18.893814225672955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Corpo d'Água (Tubulado/Galeria Fechada),,9.39045442253,0,0,0.0,
22148,0.03,361.3699999999999,26421.0,3,1,10.70699379196273,19.33665815539496,20.295509751331878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rio Guaxanduva,Corpo d'Água (Tubulado/Galeria Fechada/via),,12.4872169394,0,0,0.0,
22275,0.45,3.43,1086.0,45,1,35.5082723209454,79.99186428058765,94.37880395308557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Corpo d'Água (Tubulado/Galeria Fechada),,32.920647294,0,0,0.0,
22392,2.06,118.91,29465.0,206,1,66.93702082640391,206.334501285968,256.0911060118748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Corpo d'Água,,98.1316517428,0,0,0.0,
